n_all,n_strata,RR_star_lower,RR_star_upper,response,haplo_freq_most_common_allele_stratum_1,n_triads_per_stratum,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,0.8,66,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,66,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,66,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,66,5e-6,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,83,5e-6,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,83,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,83,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,83,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,83,5e-6,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,100,5e-6,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,100,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,100,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,100,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,100,5e-6,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,116,5e-6,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,116,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,116,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,116,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,116,5e-6,1,1,1,1,0.95,0.95,0
2,3,1,1,mult,0.7,133,5e-6,1,1,1,1,0.7,0.7,0
2,3,1,1,mult,0.8,133,5e-6,1,1,1,1,0.8,0.8,0
2,3,1,1,mult,0.85,133,5e-6,1,1,1,1,0.85,0.85,0
2,3,1,1,mult,0.9,133,5e-6,1,1,1,1,0.9,0.9,0
2,3,1,1,mult,0.95,133,5e-6,1,1,1,1,0.95,0.95,0
